Lat,Lon
49.83399444444445,18.170694444444447
49.834050000000005,18.170472222222223
49.83410555555556,18.17025277777778
49.834158333333335,18.170036111111113
49.83421388888889,18.169822222222223
49.83426666666667,18.16961388888889
49.834316666666666,18.169408333333333
49.83436666666667,18.169208333333334
49.83441388888889,18.169022222222225
49.83445833333334,18.168844444444446
49.834497222222225,18.168694444444444
49.83452777777778,18.168569444444447
49.83455277777778,18.16846388888889
49.83456944444445,18.168377777777778
49.83458055555556,18.168319444444446
49.83458055555556,18.168269444444444
49.83457222222223,18.16822777777778
49.83457777777778,18.16818888888889
49.83459444444445,18.168141666666667
49.83462777777778,18.168086111111112
49.83466388888889,18.168011111111113
49.834697222222225,18.16793611111111
49.83470277777778,18.16786388888889
49.83471111111111,18.1678
49.83472777777778,18.16775
49.83474722222223,18.16770277777778
49.834763888888894,18.167647222222225
49.83477222222223,18.16758888888889
49.834788888888895,18.167530555555558
49.83481388888889,18.167458333333336
49.834836111111116,18.167375
49.834872222222224,18.167291666666667
49.83490277777778,18.167194444444444
49.834925000000005,18.16708611111111
49.83490833333334,18.166955555555557
49.834900000000005,18.166836111111113
49.83488333333334,18.166722222222223
49.83486666666667,18.166608333333333
49.83482777777778,18.166502777777776
49.83476666666667,18.16641111111111
49.83468055555556,18.166338888888887
49.83458888888889,18.166280555555556
49.834500000000006,18.166224999999997
49.83439444444445,18.16616111111111
49.83430833333333,18.16611111111111
49.83421388888889,18.166052777777775
49.83410277777778,18.165988888888887
49.83400555555556,18.165924999999998
49.833911111111114,18.16587222222222
49.83380833333334,18.16581111111111
49.833708333333334,18.165752777777776
49.83360555555556,18.165691666666664
49.83350555555556,18.165627777777775
49.83340277777778,18.165566666666667
49.83329722222223,18.165502777777775
49.83319166666667,18.165441666666666
49.833083333333335,18.165377777777778
49.832972222222224,18.16531388888889
49.832863888888895,18.165244444444443
49.832752777777785,18.165177777777778
49.83264444444445,18.165105555555556
49.83253333333334,18.16503611111111
49.83243055555556,18.164966666666665
49.83231944444445,18.164891666666666
49.83222777777778,18.16483333333333
49.83212777777778,18.164775
49.83203055555556,18.164719444444444
49.83193611111111,18.16466388888889
49.83184166666667,18.16461111111111
49.83175000000001,18.164552777777775
49.83166388888889,18.164502777777777
49.831561111111114,18.164441666666665
49.83145833333334,18.164377777777776
49.83137777777778,18.164327777777775
49.83128333333334,18.16427222222222
49.83119166666667,18.16421111111111
49.831100000000006,18.164152777777776
49.83100833333334,18.16409722222222
49.83091666666667,18.164041666666666
49.830825000000004,18.163988888888888
49.830733333333335,18.16393611111111
49.830644444444445,18.16388333333333
49.83055277777778,18.163830555555553
49.83046388888889,18.163777777777778
49.830375000000004,18.163725
49.83027777777778,18.163663888888887
49.830194444444444,18.16361111111111
49.83012222222222,18.163563888888888
49.83004444444445,18.163513888888886
49.829972222222224,18.16347222222222
49.829911111111116,18.163413888888886
49.82986666666667,18.163327777777777
49.82982777777778,18.16324722222222
49.82981388888889,18.163138888888888
49.829838888888894,18.16302222222222
49.82986666666667,18.162905555555554
49.8299,18.162780555555553
49.82993888888889,18.16265
49.829975000000005,18.162511111111108
49.83001111111111,18.162366666666664
49.83004722222223,18.162219444444442
49.830086111111115,18.162069444444445
49.830125,18.161916666666666
49.83016111111112,18.16175833333333
49.830197222222225,18.161608333333334
49.83023333333334,18.161458333333332
49.83027222222223,18.16130833333333
49.830308333333335,18.161166666666666
49.83034444444445,18.161022222222222
49.830375000000004,18.16090833333333
49.830397222222224,18.16081388888889
49.830422222222225,18.16071388888889
49.83045555555556,18.16063611111111
49.83049444444445,18.160577777777775
49.830538888888896,18.160555555555554
49.83059166666667,18.160566666666664
49.830647222222225,18.160605555555556
49.83069166666667,18.160638888888887
49.830736111111115,18.160655555555554
49.83078888888889,18.160638888888887
49.830822222222224,18.1606
49.830844444444445,18.160569444444445
49.83085833333334,18.16057222222222
49.830869444444446,18.16055833333333
49.83088333333334,18.160541666666663
49.830894444444446,18.160513888888886
49.83092222222223,18.160477777777775
49.830938888888895,18.160430555555553
49.830961111111115,18.160366666666665
49.83099166666667,18.160305555555553
49.83101111111112,18.16024722222222
49.831027777777784,18.160177777777776
49.83103055555556,18.16013333333333
49.83103333333334,18.16008611111111
49.83103888888889,18.16004444444444
49.831044444444444,18.16001111111111
49.83101666666667,18.15997222222222
49.830983333333336,18.159947222222222
49.83092777777778,18.159938888888888
49.830875000000006,18.15996388888889
49.83079166666667,18.16004722222222
49.8308,18.16002222222222
49.830802777777784,18.16000833333333
49.830802777777784,18.160005555555554
49.8308,18.16001111111111
49.830802777777784,18.160024999999997
49.83081666666667,18.16004444444444
49.83083055555556,18.160055555555555
49.83083888888889,18.16006111111111
49.83083888888889,18.16006388888889
49.830844444444445,18.160058333333332
49.830850000000005,18.160055555555555
49.83085277777778,18.160052777777775
49.83085555555556,18.16005
49.83085833333334,18.16005
